generation,genome,fitness
10,3.34023,3.21117
10,3.34023,3.21117
10,3.34023,3.21117
10,3.34023,3.21117
10,3.34023,3.21117
10,3.65447,0.876173
10,3.34023,3.21117
10,3.34023,3.21117
10,3.34023,3.21117
10,3.34023,3.21117
10,3.34023,3.21117
10,3.34023,3.21117
10,3.34023,3.21117
10,3.33887,3.21129
10,3.34023,3.21117
10,3.73577,1.01061
10,3.15191,1.18546
10,3.34023,3.21117
10,3.34023,3.21117
10,3.34023,3.21117
10,3.34023,3.21117
10,3.34023,3.21117
10,3.34023,3.21117
10,3.34023,3.21117
10,3.34023,3.21117
10,3.34023,3.21117
10,3.15925,1.3166
10,3.52558,1.72199
10,3.34023,3.21117
11,3.34023,3.21117
11,3.33887,3.21129
11,3.33887,3.21129
11,3.34023,3.21117
11,3.34023,3.21117
11,3.34023,3.21117
11,3.34023,3.21117
11,3.34023,3.21117
11,3.34023,3.21117
11,3.33887,3.21129
11,3.16151,1.35666
11,3.54528,1.52071
11,3.62836,0.941959
11,3.33887,3.21129
11,3.34023,3.21117
11,3.78367,1.24469
11,3.34023,3.21117
11,3.33887,3.21129
11,3.34023,3.21117
11,3.33887,3.21129
11,3.34023,3.21117
11,3.34023,3.21117
11,3.33887,3.21129
11,3.33887,3.21129
11,3.33887,3.21129
11,3.34938,3.20431
11,3.33887,3.21129
11,3.34023,3.21117
11,3.33887,3.21129
11,3.33887,3.21129
11,3.32982,3.20599
11,3.34023,3.21117
11,3.54126,1.56041
11,3.34023,3.21117
11,3.33887,3.21129
11,3.34023,3.21117
11,3.34023,3.21117
11,3.33887,3.21129
11,3.33887,3.21129
11,3.69997,0.895879
11,3.34023,3.21117
11,3.34023,3.21117
11,3.82938,1.48058
11,2.87029,-0.966885
11,3.33887,3.21129
11,3.33887,3.21129
11,3.04176,-0.607728
11,3.55485,1.4296
11,3.34023,3.21117
11,3.33887,3.21129
12,3.33887,3.21129
12,3.33887,3.21129
12,3.33887,3.21129
12,3.23122,2.4675
12,3.33887,3.21129
12,3.34023,3.21117
12,3.55383,1.43901
12,3.33887,3.21129
12,3.33887,3.21129
12,3.34023,3.21117
12,3.33887,3.21129
12,3.33887,3.21129
12,3.34023,3.21117
12,3.33887,3.21129
12,3.33887,3.21129
12,3.34023,3.21117
12,3.33887,3.21129
12,3.34023,3.21117
12,3.33887,3.21129
12,3.34023,3.21117
12,3.33887,3.21129
12,3.01729,-0.879089
12,3.33887,3.21129
12,3.33887,3.21129
12,3.33887,3.21129
12,3.67459,0.864917
12,3.33887,3.21129
12,3.34023,3.21117
12,3.06476,-0.295824
12,3.33887,3.21129
12,3.33887,3.21129
12,3.33887,3.21129
12,3.33887,3.21129
12,2.94598,-1.24925
12,3.34023,3.21117
12,3.33887,3.21129
12,3.33887,3.21129
12,3.33887,3.21129
12,3.33887,3.21129
12,3.34023,3.21117
12,3.36921,3.15427
12,3.33887,3.21129
12,3.34023,3.21117
12,3.33887,3.21129
12,3.33887,3.21129
12,3.33887,3.21129
12,3.33887,3.21129
12,3.33887,3.21129
12,3.2785,2.97288
12,3.33887,3.21129
13,3.33887,3.21129
13,3.33887,3.21129
13,3.34023,3.21117
13,3.33887,3.21129
13,3.33887,3.21129
13,3.33887,3.21129
13,3.33887,3.21129
13,3.33887,3.21129
13,3.33887,3.21129
13,3.28337,3.00978
13,3.33887,3.21129
13,3.33887,3.21129
13,3.33887,3.21129
13,3.33887,3.21129
13,3.33887,3.21129
13,3.33887,3.21129
13,3.26319,2.83769
13,3.33887,3.21129
13,3.33887,3.21129
13,3.33887,3.21129
13,3.33887,3.21129
13,3.30154,3.1203
13,3.33887,3.21129
13,3.25533,2.75723
13,3.17913,1.66417
13,3.71606,0.938461
13,3.33887,3.21129
13,3.33887,3.21129
13,3.33887,3.21129
13,3.33887,3.21129
13,3.31749,3.1816
13,3.04825,-0.524813
13,3.33887,3.21129
13,3.33887,3.21129
13,3.24917,2.68928
13,3.30957,3.15537
13,3.02236,-0.828414
13,3.33887,3.21129
13,3.33887,3.21129
13,3.33887,3.21129
13,3.33887,3.21129
13,3.33887,3.21129
13,3.36921,3.15427
13,3.34023,3.21117
13,3.33887,3.21129
13,3.33887,3.21129
13,3.33887,3.21129
13,3.33887,3.21129
13,3.60713,1.03881
13,3.33887,3.21129
14,3.42144,2.82259
14,3.33887,3.21129
14,3.33887,3.21129
